ID,target
0,1.0
1,4.0
2,4.0
3,4.0
4,3.0
5,5.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,4.0
14,4.0
15,4.0
16,3.0
17,4.0
18,5.0
19,3.0
20,4.0
21,4.0
22,4.0
23,4.0
24,5.0
25,5.0
26,4.0
27,4.0
28,4.0
29,3.0
30,4.0
31,4.0
32,4.0
33,4.0
34,4.0
35,3.0
36,4.0
37,4.0
38,4.0
39,4.0
40,5.0
41,3.0
42,3.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.0
49,4.0
50,4.0
51,4.0
52,4.0
53,4.0
54,4.0
55,4.0
56,4.0
57,5.0
58,4.0
59,4.0
60,4.0
61,4.0
62,4.0
63,4.0
64,4.0
65,4.0
66,4.0
67,5.0
68,4.0
69,4.0
70,5.0
71,4.0
72,4.0
73,4.0
74,4.0
75,4.0
76,4.0
77,4.0
78,4.0
79,4.0
80,4.0
81,4.0
82,4.0
83,4.0
84,4.0
85,5.0
86,4.0
87,4.0
88,4.0
89,4.0
90,4.0
91,4.0
92,4.0
93,3.0
94,4.0
95,3.0
96,4.0
97,4.0
98,4.0
99,3.0
100,3.0
101,4.0
102,5.0
103,4.0
104,4.0
105,5.0
106,4.0
107,4.0
108,4.0
109,4.0
110,3.0
111,4.0
112,4.0
113,4.0
114,4.0
115,4.0
116,4.0
117,4.0
118,4.0
119,4.0
120,4.0
121,4.0
122,3.0
123,4.0
124,4.0
125,4.0
126,4.0
127,4.0
128,4.0
129,4.0
130,4.0
131,4.0
132,4.0
133,3.0
134,4.0
135,4.0
136,4.0
137,4.0
138,4.0
139,5.0
140,4.0
141,4.0
142,2.0
143,4.0
144,4.0
145,4.0
146,5.0
147,4.0
148,3.0
149,4.0
150,3.0
151,4.0
152,4.0
153,1.0
154,4.0
155,4.0
156,4.0
157,4.0
158,4.0
159,4.0
160,5.0
161,2.0
162,4.0
163,4.0
164,4.0
165,4.0
166,4.0
167,4.0
168,4.0
169,4.0
170,4.0
171,4.0
172,2.0
173,4.0
174,4.0
175,4.0
176,4.0
177,4.0
178,5.0
179,4.0
180,4.0
181,4.0
182,5.0
183,4.0
184,3.0
185,4.0
186,3.0
187,4.0
188,5.0
189,4.0
190,4.0
191,4.0
192,4.0
193,4.0
194,4.0
195,5.0
196,3.0
197,4.0
198,4.0
199,4.0
200,4.0
201,4.0
202,4.0
203,4.0
204,4.0
205,5.0
206,2.0
207,4.0
208,4.0
209,5.0
210,4.0
211,4.0
212,3.0
213,4.0
214,3.0
215,4.0
216,5.0
217,4.0
218,4.0
219,4.0
220,4.0
221,4.0
222,4.0
223,4.0
224,4.0
225,4.0
226,5.0
227,4.0
228,4.0
229,4.0
230,3.0
231,4.0
232,4.0
233,4.0
234,4.0
235,4.0
236,4.0
237,4.0
238,4.0
239,4.0
240,5.0
241,3.0
242,4.0
243,4.0
244,3.0
245,2.0
246,4.0
247,4.0
248,4.0
249,3.0
250,3.0
251,5.0
252,4.0
253,4.0
254,3.0
255,3.0
256,5.0
257,4.0
258,4.0
259,4.0
260,4.0
261,4.0
262,4.0
263,4.0
264,4.0
265,4.0
266,4.0
267,4.0
268,4.0
269,4.0
270,4.0
271,5.0
272,4.0
273,4.0
274,4.0
275,4.0
276,4.0
277,4.0
278,4.0
279,4.0
280,4.0
281,4.0
282,4.0
283,5.0
284,4.0
285,4.0
286,4.0
287,4.0
288,4.0
289,4.0
290,5.0
291,4.0
292,4.0
293,4.0
294,3.0
295,1.0
296,4.0
297,4.0
298,4.0
299,4.0
300,4.0
301,4.0
302,5.0
303,4.0
304,5.0
305,3.0
306,4.0
307,4.0
308,2.0
309,4.0
310,4.0
311,1.0
312,3.0
313,4.0
314,4.0
315,4.0
316,4.0
317,4.0
318,4.0
319,4.0
320,4.0
321,4.0
322,4.0
323,4.0
324,5.0
325,4.0
326,4.0
327,4.0
328,4.0
329,4.0
330,4.0
331,4.0
332,5.0
333,5.0
334,3.0
335,4.0
336,4.0
337,4.0
338,4.0
339,4.0
340,4.0
341,4.0
342,4.0
343,4.0
344,4.0
345,4.0
346,4.0
347,3.0
348,4.0
349,4.0
350,4.0
351,4.0
352,4.0
353,4.0
354,4.0
355,3.0
356,4.0
357,4.0
358,4.0
359,4.0
360,4.0
361,4.0
362,4.0
363,5.0
364,1.0
365,4.0
366,4.0
367,4.0
368,4.0
369,4.0
370,4.0
371,5.0
372,4.0
373,4.0
374,4.0
375,4.0
376,4.0
377,4.0
378,3.0
379,4.0
380,4.0
381,4.0
382,3.0
383,5.0
384,4.0
385,4.0
386,4.0
387,4.0
388,4.0
389,4.0
390,4.0
391,4.0
392,4.0
393,4.0
394,4.0
395,4.0
396,4.0
397,4.0
398,4.0
399,4.0
400,4.0
401,4.0
402,4.0
403,3.0
404,4.0
405,4.0
406,3.0
407,4.0
408,4.0
409,4.0
410,4.0
411,3.0
412,5.0
413,4.0
414,3.0
415,4.0
416,4.0
417,3.0
418,4.0
419,4.0
420,4.0
421,3.0
422,4.0
423,4.0
424,4.0
425,4.0
426,4.0
427,4.0
428,4.0
429,4.0
430,4.0
431,4.0
432,4.0
433,3.0
434,4.0
435,4.0
436,4.0
437,4.0
438,4.0
439,3.0
440,4.0
441,4.0
442,4.0
443,4.0
444,3.0
445,4.0
446,3.0
447,4.0
448,4.0
449,5.0
450,4.0
451,4.0
452,4.0
453,2.0
454,4.0
455,4.0
456,3.0
457,5.0
458,4.0
459,4.0
460,5.0
461,4.0
462,4.0
463,4.0
464,4.0
465,4.0
466,5.0
467,4.0
468,4.0
469,4.0
470,2.0
471,3.0
472,4.0
473,4.0
474,5.0
475,4.0
476,4.0
477,4.0
478,3.0
479,4.0
480,5.0
481,4.0
482,4.0
483,4.0
484,4.0
485,4.0
486,4.0
487,4.0
488,5.0
489,4.0
490,4.0
491,4.0
492,4.0
493,4.0
494,4.0
495,4.0
496,4.0
497,4.0
498,3.0
499,4.0
500,4.0
501,4.0
502,1.0
503,4.0
504,4.0
505,3.0
506,4.0
507,3.0
508,4.0
509,4.0
510,5.0
511,5.0
512,5.0
513,4.0
514,4.0
515,4.0
516,3.0
517,4.0
518,5.0
519,4.0
520,4.0
521,4.0
522,4.0
523,5.0
524,4.0
525,4.0
526,4.0
527,4.0
528,4.0
529,4.0
530,4.0
531,4.0
532,3.0
533,5.0
534,4.0
535,3.0
536,4.0
537,4.0
538,4.0
539,4.0
540,3.0
541,3.0
542,4.0
543,4.0
544,4.0
545,4.0
546,3.0
547,4.0
548,4.0
549,4.0
550,5.0
551,4.0
552,4.0
553,4.0
554,4.0
555,4.0
556,4.0
557,4.0
558,4.0
559,4.0
560,4.0
561,4.0
562,4.0
563,4.0
564,4.0
565,4.0
566,4.0
567,4.0
568,4.0
569,4.0
570,4.0
571,4.0
572,4.0
573,4.0
574,4.0
575,4.0
576,4.0
577,4.0
578,4.0
579,4.0
580,4.0
581,5.0
582,4.0
583,5.0
584,5.0
585,3.0
586,5.0
587,4.0
588,4.0
589,4.0
590,4.0
591,4.0
592,4.0
593,4.0
594,4.0
595,4.0
596,4.0
597,2.0
598,4.0
599,4.0
600,4.0
601,4.0
602,4.0
603,4.0
604,4.0
605,4.0
606,5.0
607,4.0
608,4.0
609,4.0
610,4.0
611,5.0
612,4.0
613,4.0
614,4.0
615,4.0
616,4.0
617,5.0
618,4.0
619,3.0
620,4.0
621,4.0
622,4.0
623,3.0
624,4.0
625,4.0
626,5.0
627,4.0
628,4.0
629,4.0
630,5.0
631,4.0
632,4.0
633,5.0
634,4.0
635,4.0
636,4.0
637,4.0
638,3.0
639,4.0
640,4.0
641,4.0
642,4.0
643,4.0
644,2.0
645,4.0
646,5.0
647,4.0
648,4.0
649,5.0
650,4.0
651,4.0
652,4.0
653,4.0
654,4.0
655,5.0
656,3.0
657,4.0
658,4.0
659,4.0
660,4.0
661,4.0
662,4.0
663,4.0
664,4.0
665,4.0
666,4.0
667,4.0
668,4.0
669,4.0
670,3.0
671,4.0
672,4.0
673,5.0
674,4.0
675,2.0
676,4.0
677,4.0
678,3.0
679,4.0
680,4.0
681,4.0
682,4.0
683,4.0
684,3.0
685,2.0
686,4.0
687,4.0
688,4.0
689,4.0
690,4.0
691,4.0
692,4.0
693,4.0
694,4.0
695,4.0
696,4.0
697,4.0
698,4.0
699,4.0
700,2.0
701,4.0
702,5.0
703,4.0
704,4.0
705,4.0
706,4.0
707,4.0
708,4.0
709,4.0
710,4.0
711,4.0
712,4.0
713,4.0
714,4.0
715,4.0
716,4.0
717,3.0
718,4.0
719,4.0
720,5.0
721,4.0
722,4.0
723,4.0
724,4.0
725,4.0
726,4.0
727,4.0
728,4.0
729,4.0
730,4.0
731,4.0
732,4.0
733,4.0
734,4.0
735,4.0
736,4.0
737,4.0
738,4.0
739,4.0
740,4.0
741,4.0
742,4.0
743,3.0
744,3.0
745,4.0
746,4.0
747,4.0
748,4.0
749,4.0
750,4.0
751,4.0
752,4.0
753,4.0
754,4.0
755,4.0
756,4.0
757,3.0
758,5.0
759,4.0
760,3.0
761,4.0
762,4.0
763,4.0
764,4.0
765,4.0
766,4.0
767,4.0
768,4.0
769,4.0
770,5.0
771,4.0
772,4.0
773,4.0
774,4.0
775,4.0
776,4.0
777,4.0
778,4.0
779,4.0
780,4.0
781,4.0
782,4.0
783,4.0
784,4.0
785,4.0
786,3.0
787,4.0
788,4.0
789,4.0
790,4.0
791,4.0
792,4.0
793,4.0
794,4.0
795,4.0
796,3.0
797,4.0
798,3.0
799,3.0
800,4.0
801,2.0
802,3.0
803,4.0
804,4.0
805,4.0
806,4.0
807,4.0
808,4.0
809,4.0
810,4.0
811,4.0
812,4.0
813,4.0
814,5.0
815,4.0
816,4.0
817,4.0
818,4.0
819,5.0
820,4.0
821,4.0
822,4.0
823,4.0
824,4.0
825,4.0
826,4.0
827,5.0
828,4.0
829,4.0
830,2.0
831,4.0
832,4.0
833,4.0
834,4.0
835,4.0
836,4.0
837,4.0
838,4.0
839,3.0
840,4.0
841,4.0
842,5.0
843,4.0
844,4.0
845,4.0
846,4.0
847,4.0
848,4.0
849,4.0
